date,bidclose,tickqty,ema,ema_slow,ema_res1,ema_res2,ema_res3,volumn,value1,tickqtyLimit,peaks_min,peaks_max,sell,zone_sell,buy,zone_buy
2023-02-14 17:20:00,1.07254,472,1.0725793477499062,1.07260944586651,1.072593379323608,1.0725493909142314,1.0724436792718188,481.6370668739996,1,350,,,1,0.0,0,0.0
2023-02-14 17:21:00,1.07238,517,1.0724996086499439,1.0725584578961747,1.0725628965630924,1.0725315602916807,1.0724395709316936,488.06669107872693,1,350,,,1,0.0,0,0.0
2023-02-14 17:22:00,1.07252,520,1.0725077651899664,1.072549911697025,1.0725567684826507,1.0725303434188722,1.0724447599038518,493.87274724623114,1,350,,,1,0.0,0,0.0
2023-02-14 17:23:00,1.07233,403,1.0724366591139798,1.0725010424310195,1.0725243729851293,1.0725092546379382,1.0724373560390748,477.35042956509824,1,350,,,1,0.0,0,0.0
2023-02-14 17:24:00,1.07222,515,1.072349995468388,1.0724385885574599,1.0724808911301107,1.0724788067813131,1.0724233330687898,484.1958060078076,1,350,,,1,0.0,0,0.0
2023-02-14 17:25:00,1.07219,398,1.0722859972810328,1.0723833466558024,1.0724393352543806,1.0724484060674906,1.0724082793223941,468.5238412791153,1,350,,,1,0.0,0,0.0
2023-02-14 17:26:00,1.07248,428,1.0723635983686197,1.0724048251767353,1.0724451445037548,1.0724517317445967,1.0724129064628911,461.15587013745795,1,350,,,1,0.0,0,0.0
2023-02-14 17:27:00,1.07241,352,1.0723821590211722,1.0724059751374608,1.0724401238603611,1.0724473389293758,1.072412718949156,441.3093482942838,1,350,,,1,0.0,0,0.0
2023-02-14 17:28:00,1.0723,385,1.0723492954127034,1.072382425106914,1.072420106166024,1.072431829568389,1.072405446758879,431.0712849680504,1,350,,,1,0.0,0,0.0
2023-02-14 17:29:00,1.07226,296,1.0723135772476222,1.0723552195275998,1.072397233856592,1.0724137422454008,1.0723960630970053,406.51286951931394,1,350,,,1,0.0,0,0.0
